ts_week,KOSPI,ln_KOSPI,D_ln_KOSPI
1986w26,247.23833,5.5103528,0.01201721
1986w27,257.94333,5.5527399,0.04238714
1986w28,256.175,5.5458608,-0.00687912
1986w29,254.29,5.5384753,-0.00738546
1986w30,268.80333,5.59398,0.05550466
1986w31,271.01667,5.6021803,0.00820031
1986w32,265.71833,5.5824369,-0.01974347
1986w33,269.65,5.5971248,0.01468797
1986w34,270.75167,5.601202,0.00407722
1986w35,264.155,5.5765361,-0.02466599
1986w36,262.67,5.5708985,-0.00563756
1986w37,265.34333,5.5810246,0.01012609
1986w38,263.8075,5.5752197,-0.00580491
1986w39,256.57333,5.5474145,-0.02780515
1986w40,255.04,5.5414204,-0.00599413
1986w41,252.87,5.5328755,-0.00854487
1986w42,240.315,5.4819506,-0.05092496
1986w43,232.65667,5.4495638,-0.03238673
1986w44,245.01333,5.5013126,0.0517488
1986w45,251.12667,5.5259575,0.02464483
1986w46,253.975,5.5372358,0.01127838
1986w47,263.85667,5.575406,0.03817019
1986w48,270.15667,5.599002,0.02359601
1986w49,271.765,5.6049377,0.00593568
1986w50,274.68833,5.6156371,0.0106994
1986w51,272.67333,5.6082745,-0.00736262
1986w52,271.48,5.6038885,-0.00438603
1987w1,268.52,5.5929254,-0.01096307
1987w2,277.55,5.6260011,0.0330757
1987w3,294.58667,5.6855732,0.05957215
1987w4,299.06167,5.7006498,0.01507655
1987w5,308.822,5.7327651,0.03211526
1987w6,319.01,5.7652225,0.03245739
1987w7,317.58333,5.7607403,-0.0044822
1987w8,324.59667,5.7825834,0.02184313
1987w9,336.51333,5.8186378,0.03605439
1987w10,349.126,5.8554329,0.03679512
1987w11,359.13167,5.8836891,0.02825619
1987w12,374.19833,5.924786,0.04109688
1987w13,396.03333,5.9814984,0.05671242
1987w14,388.18167,5.9614734,-0.02002494
1987w15,366.72833,5.9046213,-0.05685211
1987w16,360.06333,5.8862799,-0.0183414
1987w17,356.61167,5.8766474,-0.00963252
1987w18,364.742,5.8991903,0.02254283
1987w19,381.41167,5.9438793,0.04468903
1987w20,387.9,5.9607476,0.01686829
1987w21,394.73667,5.9782189,0.0174713
1987w22,383.74667,5.9499826,-0.02823626
1987w23,385.65,5.9549302,0.00494761
1987w24,387.68667,5.9601975,0.00526723
1987w25,384.8,5.9527237,-0.00747373
1987w26,396.37,5.9823481,0.0296244
1987w27,424.29667,6.0504329,0.06808478
1987w28,458.74,6.1284836,0.0780507
1987w29,463.624,6.1390739,0.01059028
1987w30,467.735,6.1479019,0.00882802
1987w31,485.20167,6.1845646,0.03666272
1987w32,476.5,6.1664677,-0.01809689
1987w33,489.014,6.1923911,0.0259234
1987w34,494.92333,6.2044029,0.01201175
1987w35,471.23333,6.1553534,-0.0490495
1987w36,470.875,6.1545927,-0.00076071
1987w37,489.28833,6.192952,0.03835929
1987w38,489.82667,6.1940516,0.00109963
1987w39,479.35333,6.172438,-0.02161361
1987w40,499.65333,6.2139145,0.04147655
1987w41,512.6275,6.2395495,0.02563494
1987w42,510.78667,6.235952,-0.00359744
1987w43,513.494,6.2412383,0.00528632
1987w44,506.56833,6.2276592,-0.01357912
1987w45,489.055,6.192475,-0.03518427
1987w46,464.83833,6.1416897,-0.05078528
1987w47,472.62833,6.1583093,0.01661964
1987w48,473.53,6.1602153,0.00190595
1987w49,479.89167,6.1735604,0.01334512
1987w50,471.682,6.156305,-0.01725535
1987w51,499.51,6.2136276,0.05732259
1987w52,521.55,6.2568051,0.04317753
1988w1,534.6225,6.2815609,0.02475574
